text,intent,style
bhaiya bheed ki vjh se 20 min late honga,report_delay,abbreviated
ek ghanta late pahunchunga tyre puncture h,report_delay,abbreviated
yaa tyre puncture ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
yaar baarish ki wajah se 5 min late honga,report_delay,casual_hindi
20 min late phunchunga bheed hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga bheed hai,report_delay,casual_hindi
late ho jaunga 5 min,report_delay,casual_hindi
bawa petrol khatam ki wajah se 20 min late honga,report_delay,casual_hindi
bhaiya baarish ki wajah se ek ghanta late honga,report_delay,augmented_spelling
ustad bheed ki wajah s 15 mins late honga,report_delay,augmented_spelling
package damage ho gaya boss,order_issue,abbreviated
5 min late pahunchunga traffic hai,report_delay,casual_hindi
ek ghanat late pahunchunga baarish hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga tyre puncture hai,report_delay,casual_hindi
boss baarish ki wajah se 5 min late honga,report_delay,casual_hindi
boss petrol khatam ki wajah se ek ghanta late honga,report_delay,augmented_spelling
galat order de diya h,order_issue,abbreviated
yaar tyre puncture ki wajah se 15 mins late honga,report_delay,abbreviated
bheed k ekaran delay hoga,report_delay,augmented_spelling
bhaiya tyre puncture ki vjh se 20 min late honga,report_delay,abbreviated
darwaza band hai,customer_unavailable,formal_hindi
15 mins late pahunchunga traffic h,report_delay,abbreviated
yaar accident ki wjh se 5 min late honga,report_delay,abbreviated
yre puncture ki wajah se 20 min late honga,report_delay,augmented_spelling
guru traffic k wajah se 10 minute late honga,report_delay,augmented_spelling
yaar tyre puncture ki wajah se ek ghanta late honga,report_delay,augmented_spelling
item missing h,order_issue,abbreviated
ek ghanta late pahunchunga tyre puncture hai,report_delay,casual_hindi
bawa next orde rka address batao,get_address,augmented_spelling
gps hang ho gaya,navigation_help,abbreviated
bawa bheed ki wjh se 20 min late honga,report_delay,abbreviated
bawa order cancel kar do,order_issue,casual_hindi
bawa accident i wajah se aadh ghanta late honga,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,augmented_spelling
baw apetrol khatam ki wajah se 20 min late honga,report_delay,augmented_spelling
20 min late pahunchunga traffic h,report_delay,abbreviated
20 min late pahunchunga traffic h,report_delay,abbreviated
20 min late pahunchunga accident hai,report_delay,augmented_spelling
boss bheed ki wajah se 5 min late honga,report_delay,augmented_spelling
5 min late pahunchunga petrol khatam hai,report_delay,casual_hindi
20 min late pahunchunga petrol khatam hai,report_delay,casual_hindi
bawa traffic ki wajah se 20 min late honga,report_delay,abbreviated
accident ke karan delay hoga,report_delay,abbreviated
lateh o jaunga 20 min,report_delay,augmented_spelling
accident ki wajah se aadh ghanta late honga,report_delay,casual_hindi
ek ghanta late pahunchunga bheed h,report_delay,abbreviated
yaar tyre puncture ki vjh se 5 min late honga,report_delay,abbreviated
15 mins late pahunchunga traffic hai,report_delay,abbreviated
ek ghanta late pahunchunga baarish h,report_delay,abbreviated
map stuck ho gaya hai,navigation_help,casual_hindi
ptrol khatam ke karan delay hoga,report_delay,augmented_spelling
boss petrol khatam ki wajah se 5 min ate honga,report_delay,augmented_spelling
bhaiya tyre puncture ki vjh se aadh ghanta late honga,report_delay,abbreviated
ek ghanta late pahunchunga accident hai,report_delay,augmented_spelling
late ho jaunga 10 minue,report_delay,augmented_spelling
guru accident ki wjh se 20 min late honga,report_delay,abbreviated
guru order cancl kar do,order_issue,augmented_spelling
bawa baarish ki wajah se ke ghanta late honga,report_delay,augmented_spelling
15 mins late pahunchunga baarish hai,report_delay,augmented_spelling
tyre puncture ki vjh se 20 min late honga,report_delay,abbreviated
kipya aagami aadesh ka pata pradan karein,get_address,augmented_spelling
bhaiya baarish ki wajah se ek ghanta late honga,report_delay,casual_hindi
10 minute late pahunchunga baarish hai,report_delay,casual_hindi
bawa petrol khatam ki wajah se 20 min late honga,report_delay,augmented_spelling
accident ke karan delay hoga,report_delay,augmented_spelling
guru traffic ki wjh se ek ghanta late honga,report_delay,abbreviated
20 min late pahunchunga bhed hai,report_delay,augmented_spelling
bawa traffic ki wjh se ek ghanta late honga,report_delay,abbreviated
guru customer kidharh ai,get_address,augmented_spelling
petrol khatam ki wajah se 20 min late honga,report_delay,abbreviated
yaar accident ki wajah es 10 minute late honga,report_delay,augmented_spelling
bawa tyre puncture ki wajah se ek ghanta late honga,report_delay,casual_hindi
bh petrol khatam ki wajah se aadh ghanta late honga,report_delay,abbreviated
bawab heed ki wajah se 10 minute late honga,report_delay,augmented_spelling
pertol khatam ke karan delay hoga,report_delay,augmented_spelling
tyre puncture ke karan delay hoga,report_delay,abbreviated
bheed ki wajah se ek ghanta late honga,report_delay,augmented_spelling
bhaiya bheed ki wajah se 10 minute late honga,report_delay,abbreviated
bhaiya tyre puncture ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
yaar order cancel kar do,order_issue,abbreviated
20 min late pahunchunga tyre puncture hai,report_delay,casual_hindi
petrol khatam ki wajah se 20 min ltae honga,report_delay,augmented_spelling
gate par koi ni h,customer_unavailable,abbreviated
late ho aunga 10 minute,report_delay,augmented_spelling
tyre puncture ke karan delay hoga,report_delay,augmented_spelling
baarish ki vjh se 20 min late honga,report_delay,abbreviated
aadh ghanta late pahunchunga petrol khatam h,report_delay,abbreviated
10 minut elate pahunchunga traffic hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga baarish hai,report_delay,abbreviated
bhaiya accident ki wajah se ek ghanta late honga,report_delay,augmented_spelling
bhaiya accident ki wjh se 20 min late honga,report_delay,abbreviated
bhaiya accident ki wjh se 15 mins late honga,report_delay,abbreviated
traffic ki wajah se 5 min late honga,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,abbreviated
darwaza band h,customer_unavailable,abbreviated
baarihs ki wajah se ek ghanta late honga,report_delay,augmented_spelling
guru accident ki vjh se 20 min late honga,report_delay,abbreviated
boss accident ki vjh se ek ghanta late honga,report_delay,abbreviated
late ho jaunga aadh ghanta,report_delay,augmented_spelling
bhai petrol khatam ki wjaah se 5 min late honga,report_delay,augmented_spelling
boss petrol khatam ki vjh se ek ghanta late honga,report_delay,abbreviated
15 mins late pahunchunga bheed hai,report_delay,abbreviated
number not reachable hai,customer_unavailable,casual_hindi
bhi baarish ki vjh se aadh ghanta late honga,report_delay,abbreviated
boss petrol khatam ki wajah sea adh ghanta late honga,report_delay,augmented_spelling
sir mujhe aane mein 20 min lagegne,report_delay,augmented_spelling
boss petrol khatam ki wajah se 5 min late honga,report_delay,augmented_spelling
late ho jaunga 5 min,report_delay,abbreviated
yaar accident ki wajah se aadh ghanta late honga,report_delay,abbreviated
20 min late pahunchunga petrol khatam hai,report_delay,augmented_spelling
15 mins late pahnchunga accident hai,report_delay,augmented_spelling
lae ho jaunga 15 mins,report_delay,augmented_spelling
location samahj nahi aa raha,navigation_help,augmented_spelling
ustad bheed ki wajah se 15 mins lat ehonga,report_delay,augmented_spelling
yaar petrol khatam ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga accident h,report_delay,abbreviated
bhai accident ki wajah e 5 min late honga,report_delay,augmented_spelling
baarish ke karan delay hoga,report_delay,abbreviated
galat order e diya hai,order_issue,augmented_spelling
aadh ghanta late pahunchunga traffic hai,report_delay,casual_hindi
aadh ghanta late pahunchunga petrol khatam h,report_delay,abbreviated
sir grahak sampark mein nai hain,customer_unavailable,abbreviated
2 0min late pahunchunga traffic hai,report_delay,augmented_spelling
20 min late pahunchunga tyre punctur hai,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,casual_hindi
20 min ate pahunchunga traffic hai,report_delay,augmented_spelling
yaar bheed ki wajah se ek ghanta late honga,report_delay,abbreviated
package damage ho gaya boss,order_issue,casual_hindi
boss tyre puncture ki wjh se 5 min late honga,report_delay,abbreviated
20 min lat epahunchunga bheed hai,report_delay,augmented_spelling
bawa tyre puncture ki wajah se 20 min late honga,report_delay,abbreviated
5 min late pahunchunga baarish hai,report_delay,augmented_spelling
15 mins late pahunchunga accident hai,report_delay,abbreviated
yaar petrol khatam ik wajah se 20 min late honga,report_delay,augmented_spelling
10 minute late pahunchunga tyre puncture hai,report_delay,abbreviated
late ho jaunga 10 mniute,report_delay,augmented_spelling
ek ghanta late pahunchunga traffic hai,report_delay,casual_hindi
gate par koi ni h guru,customer_unavailable,abbreviated
yaar accident ki wajah se 5 min late hnga,report_delay,augmented_spelling
custmoer mil nahi raha,customer_unavailable,augmented_spelling
guru next order ka address btaao,get_address,augmented_spelling
gps han gho gaya,navigation_help,augmented_spelling
20 min late ahunchunga bheed hai,report_delay,augmented_spelling
darwaza band hai,customer_unavailable,formal_hindi
ustad traffic ki wajah se 5 imn late honga,report_delay,augmented_spelling
ek ghanta late pahunchunga traffic hai,report_delay,abbreviated
ek ghanta late pahunchunga petrol khatam hai,report_delay,augmented_spelling
20 min late pahunchunga tyre puncture h,report_delay,abbreviated
mahoday mujhe aane mein 10 minute lagenge,report_delay,abbreviated
20 min late pahunchunga petrol khatam h,report_delay,abbreviated
ek ghanta late pahunchunga traffic hai,report_delay,abbreviated
baarish ki wajah se 20 min late honga,report_delay,casual_hindi
ek ghanta late pahunchunga petrol khatam h,report_delay,abbreviated
15 mins late pahunchunga traffic hai,report_delay,abbreviated
gate par koi nahi hai guru,customer_unavailable,casual_hindi
bheed ki vjh se aadh ghanta late honga,report_delay,abbreviated
late ho jaunga 15 mins,report_delay,augmented_spelling
10 minute late pahunchunga petrol khatam hai,report_delay,casual_hindi
sir mujhe aane mein 5 min lagenge,report_delay,abbreviated
bhi customer phone ni utha rha,customer_unavailable,abbreviated
aadh ghanta late pahunchunga heed hai,report_delay,augmented_spelling
15 mins late pahunchunga accident hai,report_delay,casual_hindi
aadh ghanta late pahunchunga petrol khatam hia,report_delay,augmented_spelling
drawaza band hai,customer_unavailable,augmented_spelling
baarish ki wjh se 20 min late honga,report_delay,abbreviated
ustad traffic ki wajah se 10 minute late honga,report_delay,augmented_spelling
guru bheed ki wajah se 15 mins late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga baarish h,report_delay,abbreviated
ite missing hai,order_issue,augmented_spelling
item missing h,order_issue,abbreviated
ustad traffic ki wjh se 10 minute late honga,report_delay,abbreviated
baarish ki wajah se 10 minut elate honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga traffic hai,report_delay,augmented_spelling
location send karo yaar,get_address,augmented_spelling
late ho jaunga 5 min,report_delay,casual_hindi
yaar accident ki wajah se 15 mins late honga,report_delay,augmented_spelling
5 min late pahunchunga baarish hai,report_delay,casual_hindi
bhaiya petrol khatam ki wajah se 20 min late hogna,report_delay,augmented_spelling
bhaiya petrol khatam ki wajah se 20 min late honga,report_delay,casual_hindi
aadh ghanta late pahunchunga baarish hai,report_delay,abbreviated
guru petrol khatam ki wajah se aadh ghanta late honga,report_delay,casual_hindi
5 min late pahunchunga tyre puncture hai,report_delay,casual_hindi
sir mujhe aane mein aadh ghanta lagenge,report_delay,formal_hindi
5 min late pahunchunga petrol khatam hai,report_delay,augmented_spelling
gate par koi nahi ahi boss,customer_unavailable,augmented_spelling
location samajh nahi aa raha,navigation_help,casual_hindi
bawa traffic ki wajah se 15 mins late honga,report_delay,augmented_spelling
late ho jaunga 0 min,report_delay,augmented_spelling
bhaiya order cancel kar do,order_issue,augmented_spelling
boss traffic ki wajah se 10 minute late honga,report_delay,casual_hindi
yaar tyre puncture ki wajah se 10 minute late honga,report_delay,abbreviated
ustadt raffic ki wajah se 20 min late honga,report_delay,augmented_spelling
bhai traffic ki wajah se 10 minute late honga,report_delay,casual_hindi
ek ghanta late pahunchunga traffic h,report_delay,abbreviated
late ho jaunga aadh ghanta,report_delay,augmented_spelling
galat order de diya hai,order_issue,casual_hindi
bhaiya tyre puncture ki wajah se 15 mins late hnga,report_delay,augmented_spelling
10 minute late pahunchuna accident hai,report_delay,augmented_spelling
5 min late pahunchunga tyre puncture h,report_delay,abbreviated
late o jaunga aadh ghanta,report_delay,augmented_spelling
guru baarish ki wajah es 15 mins late honga,report_delay,augmented_spelling
yaar baarish ki wjh se 15 mins late honga,report_delay,abbreviated
guru bheed ki vjh se ek ghanta late honga,report_delay,abbreviated
bhaiya bheed ki vjh se aadh ghanta late honga,report_delay,abbreviated
15 mins late pahunchunga accident h,report_delay,abbreviated
guru tyre puncture ki wajah se aadh ghanat late honga,report_delay,augmented_spelling
10 minute late pahunhunga accident hai,report_delay,augmented_spelling
bhaiya accident ki wajah se aadh ghanta late hnga,report_delay,augmented_spelling
customer mil ni raha,customer_unavailable,abbreviated
location samajh nhi aa rha,navigation_help,abbreviated
ek ghanta late pahunchunga tyre puncture ai,report_delay,augmented_spelling
gate par ko nahi hai bhai,customer_unavailable,augmented_spelling
late ho jaunga aadh ghanta,report_delay,abbreviated
aadh ghanta late pahunchunga accident h,report_delay,abbreviated
traffic ki wajah se 10 minute late honga,report_delay,casual_hindi
ek ghanta late pahunchunga accident hai,report_delay,casual_hindi
late ho jaunga 10 minute,report_delay,augmented_spelling
bhai traffic ki wajah se 15 mins late honga,report_delay,casual_hindi
20 min late pahunchunga petrol khatam h,report_delay,abbreviated
galat order de diay hai,order_issue,augmented_spelling
ek ghanta late pahunchunga abarish hai,report_delay,augmented_spelling
0 minute late pahunchunga baarish hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga baarish h,report_delay,abbreviated
customer mil nahi rha,customer_unavailable,abbreviated
15 mins late pahunchunga baarish hai,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,augmented_spelling
ek ghanta lte pahunchunga accident hai,report_delay,augmented_spelling
yaar baarish ki wajah se 5 min late honga,report_delay,abbreviated
aah ghanta late pahunchunga tyre puncture hai,report_delay,augmented_spelling
bhaiya tyre puncture ki wajah se ek ghanta late honga,report_delay,abbreviated
15 mins late pahunchunga traffic hai,report_delay,abbreviated
bhaiya bheed ki wajah se 10 minute late honga,report_delay,augmented_spelling
ek ghanta late pahunchunga baarish hai,report_delay,abbreviated
bhai bheed ki wajah se 5 min late honga,report_delay,augmented_spelling
15 mins late pahunchunga bheed h,report_delay,abbreviated
aadh ghanta late pahunchunga accident hai,report_delay,augmented_spelling
ek ghantal ate pahunchunga traffic hai,report_delay,augmented_spelling
ek ghanta late pahunchunga baarish h,report_delay,abbreviated
late ho jaunga 5 min,report_delay,abbreviated
5 min ltae pahunchunga tyre puncture hai,report_delay,augmented_spelling
bhai baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
20 min late pahunchunga baarish h,report_delay,abbreviated
bhai order cancel kar do,order_issue,casual_hindi
yaar bheed ki vjh se 20 min late honga,report_delay,abbreviated
sir grahak sampark mein nahi hain,customer_unavailable,augmented_spelling
aadh ghanta laet pahunchunga baarish hai,report_delay,augmented_spelling
ustad tyre puncture ki wajah se 5 min late honga,report_delay,abbreviated
aadh ghanta ate pahunchunga bheed hai,report_delay,augmented_spelling
guru traffic ki vjh se aadh ghanta late honga,report_delay,abbreviated
tyre puncture ki wjh se 10 minute late honga,report_delay,abbreviated
20 min late pahunchunga tyre puncture h,report_delay,abbreviated
15 mins late pahunchunga bhee hai,report_delay,augmented_spelling
yaar accident ki wajah se ek ghanta ltae honga,report_delay,augmented_spelling
15 mins late pahunchunga accident h,report_delay,abbreviated
yaar cusotmer kidhar hai,get_address,augmented_spelling
late ho jaunga aadh ghanta,report_delay,abbreviated
aadh ghanta late pahunchunga accident hai,report_delay,casual_hindi
20 min late pahunchunga tyre puncture h,report_delay,abbreviated
sir mjhe aane mein ek ghanta lagenge,report_delay,augmented_spelling
aadh ghanta late pahucnhunga baarish hai,report_delay,augmented_spelling
20 min late pahunchunga traffic hai,report_delay,augmented_spelling
boss petrol khatam ki wajah se 15 mins late honga,report_delay,casual_hindi
number not reachable h,customer_unavailable,abbreviated
galat order de diya h,order_issue,abbreviated
5 min late pahunchunga bheed hai,report_delay,casual_hindi
tyre puncture ke karan delay hoga,report_delay,abbreviated
bawa traffic ki wajah se 5 min late honga,report_delay,augmented_spelling
accident ki vjh se aadh ghanta late honga,report_delay,abbreviated
yaar petrol khatam ki wajah se aadh ganta late honga,report_delay,augmented_spelling
bawa order cancel kar do,order_issue,abbreviated
 5min late pahunchunga baarish hai,report_delay,augmented_spelling
yaar tyre puncturek i wajah se 5 min late honga,report_delay,augmented_spelling
20 min late pahunchunga baarish hai,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,abbreviated
late ho jaunga ek ghanta,report_delay,abbreviated
galat order de diya h,order_issue,abbreviated
guru petrol khatam ki wajah se 10 minute late honga,report_delay,augmented_spelling
bawa traffic ki wajah se 20 min late honga,report_delay,augmented_spelling
numbr not reachable hai,customer_unavailable,augmented_spelling
20 min late pahunchunga tyre puncture hai,report_delay,abbreviated
bhai acicdent ki wajah se 5 min late honga,report_delay,augmented_spelling
yaar bheed ki vjh se 20 min late honga,report_delay,abbreviated
item missing h,order_issue,abbreviated
10 minute late pahunchunga tyre puncture hai,report_delay,casual_hindi
ek ghanta late pahunchunga baarish h,report_delay,abbreviated
5 min late pahunchunga tyre puncture hai,report_delay,casual_hindi
item missing hai,order_issue,abbreviated
yaar tyre puncture ki wajah se ek ghanta late honga,report_delay,abbreviated
kripya mujhe aane mein aadh ghanta lagenge,report_delay,abbreviated
ustad accdent ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
bawa tyre puncture ki wajah se 10 minute late honga,report_delay,abbreviated
aadh ghanta late pahunchunga tyre puncture h,report_delay,abbreviated
ustad bheed ki waja se 5 min late honga,report_delay,augmented_spelling
boss tyre puncture ki wajah se 5 min late honga,report_delay,abbreviated
gps hang ho gaya,navigation_help,casual_hindi
bheed ki wajah se 15 mins late honga,report_delay,abbreviated
bhi petrol khatam ki wjh se ek ghanta late honga,report_delay,abbreviated
bhaiya petrol khatam ki wajah se ek ghanta late hnoga,report_delay,augmented_spelling
15 mins late pahunchunga accident h,report_delay,abbreviated
bheed ki wjh se 5 min late honga,report_delay,abbreviated
traffic ki wajah se 15 mins late honga,report_delay,casual_hindi
gate par koi nai h bawa,customer_unavailable,abbreviated
late ho jaunga 20m in,report_delay,augmented_spelling
boss accient ki wajah se 5 min late honga,report_delay,augmented_spelling
guru baraish ki wajah se 15 mins late honga,report_delay,augmented_spelling
location send kr bh,get_address,abbreviated
20 min late pahunchunga accident h,report_delay,abbreviated
gp hang ho gaya,navigation_help,augmented_spelling
bhai petrol khatam ki wajah se aadh ghantal ate honga,report_delay,augmented_spelling
traffic ki wajah se 10 minute late honga,report_delay,abbreviated
yaar bheed ki wjh se 10 minute late honga,report_delay,abbreviated
yaar traffic ki wajah se ek ghanta late honga,report_delay,casual_hindi
5 min late pahunchunga traffic hai,report_delay,casual_hindi
ek ghanta late pahunchunga bheed h,report_delay,abbreviated
10 minute late pahunchunga accident h,report_delay,abbreviated
accident ke karan delay hoga,report_delay,augmented_spelling
baarish ki wajah se ek ghanta late honga,report_delay,abbreviated
ek ghnata late pahunchunga accident hai,report_delay,augmented_spelling
ek ghanta late pahunchunga traffic hai,report_delay,casual_hindi
aadh ghanta late pahunchunga tyre puncture h,report_delay,abbreviated
20 min late pahunchunga baarish hai,report_delay,casual_hindi
boss bheed ki wjh se 10 minute late honga,report_delay,abbreviated
guru nexto rder ka address batao,get_address,augmented_spelling
bawa petrol khtaam ki wajah se 20 min late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga baarish h,report_delay,abbreviated
15 mins late pahunchunga baarish h,report_delay,abbreviated
ustad tyre puncture ki wajah se aadh ghanta late honga,report_delay,casual_hindi
10 minute late pahunchunga traffic hai,report_delay,casual_hindi
ustad petrol khatam ki wajah se 15 mins late honga,report_delay,augmented_spelling
bheed ki vjh se aadh ghanta late honga,report_delay,abbreviated
gps hang ho gaya,navigation_help,casual_hindi
gate par koi nahi h bh,customer_unavailable,abbreviated
ek ghanta late pahunchunga traffic hai,report_delay,casual_hindi
20 min late pahunchunga traffic h,report_delay,abbreviated
saih marg dikhayein,navigation_help,augmented_spelling
15 mins late pahunchunga traffic h,report_delay,abbreviated
5 min late pahunchunga accident hai,report_delay,casual_hindi
aadh ghanta late pahunchunga tyre puncture hai,report_delay,abbreviated
bhai baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
bhi traffic ki wjh se 5 min late honga,report_delay,abbreviated
bhai perol khatam ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
15 mins late pahunchunga acciden hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga bheed hai,report_delay,abbreviated
bawa baarish ki vjh se 10 minute late honga,report_delay,abbreviated
10 minute late pahunchunga traffic hai,report_delay,augmented_spelling
abarish ke karan delay hoga,report_delay,augmented_spelling
bh traffic ki vjh se 15 mins late honga,report_delay,abbreviated
15 mins late pahunchunga bheed hai,report_delay,casual_hindi
15 mins late pahunchunga bheed hai,report_delay,abbreviated
10 minute late pahunchunga petrol khatam h,report_delay,abbreviated
ustad accident ki wajah se 5 min late honga,report_delay,abbreviated
location samajh nai aa rha,navigation_help,abbreviated
guru petrol khatam ki vjh se aadh ghanta late honga,report_delay,abbreviated
guru traffic ki wajah se 20 min late honga,report_delay,abbreviated
20 min late pahunchunga accident h,report_delay,abbreviated
late ho jaunga ek ghata,report_delay,augmented_spelling
customer mil nahi raha,customer_unavailable,augmented_spelling
bhai traffic ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
ustad petrol khatam ki wajah se 10 minute late honga,report_delay,augmented_spelling
aad hghanta late pahunchunga bheed hai,report_delay,augmented_spelling
baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
aadh ghanta lat pahunchunga tyre puncture hai,report_delay,augmented_spelling
bheed ki vjh se 10 minute late honga,report_delay,abbreviated
10 minute late pahunchunga accident h,report_delay,abbreviated
10 minute late pahunchunga tyre puncture hai,report_delay,casual_hindi
lat ho jaunga 20 min,report_delay,augmented_spelling
bhaiya baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
late ho jaunga 20 min,report_delay,abbreviated
5 min late pahunchunga tyre puncture h,report_delay,abbreviated
boss accident ki wajah se 15 mins late honga,report_delay,augmented_spelling
bheed ki wajah se aadh ghanta laet honga,report_delay,augmented_spelling
bheed ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
ustad petrol khatam ki wajah se ek ghant late honga,report_delay,augmented_spelling
gate par koi nhi h bhaiya,customer_unavailable,abbreviated
ek ghanta late pahunchunga baarish h,report_delay,abbreviated
ek ghanta late pahunchunga tyre pucnture hai,report_delay,augmented_spelling
traffic ke akran delay hoga,report_delay,augmented_spelling
item missing hia,order_issue,augmented_spelling
bhai tyre puncture ki ajah se aadh ghanta late honga,report_delay,augmented_spelling
sahi marg dikhayein,navigation_help,abbreviated
location send karo boss,get_address,augmented_spelling
tyre puncture ki wjh se 10 minute late honga,report_delay,abbreviated
galat order de dia hai,order_issue,augmented_spelling
late oh jaunga 15 mins,report_delay,augmented_spelling
bhaiya next order ka adr batao,get_address,abbreviated
bhaia tyre puncture ki wajah se 10 minute late honga,report_delay,augmented_spelling
late ho jaunga 20 min,report_delay,augmented_spelling
bhia baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
5 min late pahunchunga baarish h,report_delay,abbreviated
aadh ghanta late pahunchnuga traffic hai,report_delay,augmented_spelling
10 minute late pahunchunga tyre puncture h,report_delay,abbreviated
10 minute late pahunhunga baarish hai,report_delay,augmented_spelling
ustad ytre puncture ki wajah se 10 minute late honga,report_delay,augmented_spelling
baarish ke karan delay hoga,report_delay,abbreviated
late ho jaunga ek ghanta,report_delay,abbreviated
galat order de diya h,order_issue,abbreviated
accident ki wajah se ek ghanta late honga,report_delay,abbreviated
15 mins late pahunchunga baarish h,report_delay,abbreviated
bhai map stuck ho gaya hai,navigation_help,augmented_spelling
boss bheed ki wajah se 10 minute late honga,report_delay,augmented_spelling
15 mins late pahunchunga tyre punctureh ai,report_delay,augmented_spelling
rasta dikhao yaar,navigation_help,casual_hindi
location send karo bhai,get_address,augmented_spelling
